,restaurant number,name,rating,cuisine,price,location
73,74,84. The Reading Room,4.0 ,"Bars, Cafes",$$,Chinatown
74,75,85. Brunches Cafe,4.4 ,"Coffee & Tea, Bakeries, Breakfast & Brunch",$$,Farrer Park
75,76,86. The RiceTable,4.3 ,Indonesian,$$,Tanglin
76,77,87. Zam Zam Restaurant,4.0 ,"Indian, Halal",$,Arab Street
77,78,88. Ban Leong Wah Hoe Seafood,4.3 ,Seafood,$$,Thomson
78,79,89. Sidewalk Food Place,4.0 ,Food Court,$,City Hall
79,80,90. My Little Spanish Place,4.0 ,"Tapas/Small Plates, Spanish",$$$,Boat Quay
80,81,91. Dolce Vita,4.3 ,Italian,$$$,City Hall
81,82,92. Pek Kio Market & Food Centre,4.6 ,"Coffee & Tea, Breakfast & Brunch",$,Farrer Park
82,83,93. Cibo Italiano,4.2 ,"Wine Bars, Italian, Imported Food",$$,River Valley
83,84,94. My Little Tapas Bar,4.3 ,"Tapas/Small Plates, Spanish",$$$,Ann Siang Hill
84,85,95. The Banana Leaf Apolo,3.9 ,"Indian, Asian Fusion",$$,Farrer Park
85,86,96. Wang Dae Bak Korean BBQ,4.0 ,"Korean, Barbeque",$,Tanjong Pagar
86,87,97. City Hot Pot Shabu Shabu,4.7 ,"Taiwanese, Hot Pot",$$,Raffles Place
87,88,98. Bar B Q Tonight,4.1 ,Barbeque,$$,Little India
88,89,99. Tandoori Flame @ Boon Tat,4.9 ,Indian,$$,Tanjong Pagar
89,90,100. Wing Seong Fatty’s,3.7 ,"Chinese, Asian Fusion, Bars",$$,Bencoolen
90,91,101. Joo Bar,4.1 ,Korean,$$,Bugis
91,92,102. San Laksa Steamboat,4.1 ,"Hot Pot, Singaporean",$$$,Little India
92,93,103. Superstar K,4.5 ,"Korean, Barbeque",$$$,Duxton Hill
93,94,104. A Noodle Story,4.4 ,"Food Stands, Ramen, Singaporean",$,Tanjong Pagar
94,95,105. Grazie,4.5 ,Italian,$,Boon Keng
95,96,106. Public House,4.5 ,"Bars, Singaporean",$,Boat Quay
96,97,107. Old Chengdu Sichuan Cuisine,4.1 ,"Szechuan, Imported Food",$$,Chinatown
97,98,108. Kai Garden,4.3 ,"Cantonese, Dim Sum, Seafood",$$,City Hall
98,99,109. Geylang Lorong 9 Beef Kway Teow,4.1 ,Chinese,$,Geylang
99,100,110. The Wall,5.0 ,"Japanese, Cocktail Bars, Whiskey Bars",$$$,Duxton Hill
100,101,111. Café Iguana,3.8 ,"Lounges, Tapas/Small Plates, Mexican",$$,Clarke Quay
101,102,112. Treasures Yi Dian Xin,4.7 ,"Congee, Dim Sum, Noodles",$,Bras Brasah
102,103,113. Din Tai Fung,4.2 ,"Shanghainese, Taiwanese, Dumplings",$$,Bayfront
103,104,114. Astons Specialities,4.4 ,"American, Steakhouses",$,Little India
104,105,115. Red House,3.9 ,Seafood,$$$,Robertson Quay
105,106,116. Two Men Bagel House,4.8 ,"Breakfast & Brunch, Bagels",$,Novena
106,107,117. Din Tai Fung,4.4 ,"Taiwanese, Shanghainese, Dumplings",$$,City Hall
107,108,118. Imperial Treasure Fine Chinese Cuisine,4.1 ,Chinese,$$,Bayfront
108,109,119. Blu Kouzina,4.5 ,"Mediterranean, Greek",$$$,Dempsey Hill
109,110,120. Char Restaurant,4.4 ,Cantonese,$$,Little India
110,111,121. Thien Long Vietnamese Restaurant,4.2 ,Vietnamese,$,Tanglin
111,112,122. Isle Eating House,4.7 ,"Coffee & Tea, Food Court, Asian Fusion",$,Mount Sophia
112,113,123. Bee Cheng Hiang - New Bridge Road,4.4 ,"Singaporean, Meat Shops, Barbeque",$$,Chinatown
113,114,124. Wee Nam Kee Hainanese Chicken Rice,3.7 ,"Chicken Shop, Hainan",$$,City Hall
114,115,125. Zhong Hua Steamboat,5.0 ,Chinese,$$,Bugis
115,116,126. Food Republic,4.0 ,Food Court,$,Bras Brasah
116,117,127. Indocafe The White House,4.2 ,Indonesian,$$,Newton
117,118,128. Classic Lao Di Fang Vegetarian,4.0 ,Vegetarian,$,Dhoby Ghaut
118,119,129. Happy Tummy,4.8 ,"Desserts, Salad, Cafes",$,Mount Sophia
119,120,130. Hamburg Steak Keisuke,4.6 ,"Teppanyaki, Steakhouses",$$,Tanjong Pagar
120,121,131. Toast Box,4.0 ,"Cafes, Breakfast & Brunch",$,Bras Brasah
121,122,132. Shabu Shabu Tajimaya,4.5 ,"Japanese, Hot Pot",$$$,Orchard
